Wall time,Step,Value
1721404135.1929023,50,6.169572353363037
1721404138.8434098,150,8.252631187438965
1721404139.2048876,160,5.845732688903809
1721404140.2980583,190,7.773203372955322
1721404140.66131,200,8.120079040527344
1721404143.2266011,270,6.934508323669434
1721404143.593431,280,6.650748252868652
1721404148.3354526,410,6.53558349609375
1721404150.890619,480,7.344226837158203
1721404151.2519357,490,6.108366966247559
1721404151.6175928,500,8.710700988769531
1721404153.4308276,550,8.557082176208496
1721404156.355343,630,5.571038246154785
1721404156.7222316,640,6.278498649597168
1721404157.8226852,670,7.369942665100098
1721404158.1888428,680,8.743937492370605
1721404159.2880917,710,6.135324954986572
1721404159.6541119,720,6.069743633270264
1721404161.849617,780,6.5976881980896
1721404163.6828687,830,4.3271026611328125
1721404166.247415,900,7.019362449645996
1721404169.9012492,1000,8.982769012451172
1721404171.358991,1040,8.117460250854492
1721404172.817708,1080,8.282770156860352
1721404177.927802,1220,7.635640621185303
1721404179.3917644,1260,9.540831565856934
1721404179.7570791,1270,8.487316131591797
1721404180.4873,1290,6.8985090255737305
1721404181.2195597,1310,4.233766078948975
1721404183.4090965,1370,9.02439022064209
1721404186.3349612,1450,7.7801713943481445
1721404187.0665407,1470,7.516226291656494
1721404187.4337788,1480,9.235119819641113
1721404188.5304003,1510,7.987423896789551
1721404191.097821,1580,7.340340614318848
1721404192.197821,1610,8.856748580932617
1721404192.9428308,1630,8.422571182250977
1721404193.6765978,1650,-2.446380615234375
1721404196.2301269,1720,7.0879998207092285
1721404196.5969632,1730,9.098779678344727
1721404198.4216022,1780,7.78348445892334
1721404200.988078,1850,3.7075512409210205
1721404201.354783,1860,8.630895614624023
1721404203.5601177,1920,9.052386283874512
1721404203.9260404,1930,6.105448246002197
1721404217.272309,2040,3.8839149475097656
1721404218.0088742,2060,8.364982604980469
1721404220.927201,2140,4.3402628898620605
1721404221.653897,2160,8.859350204467773
1721404224.942367,2250,7.2181572914123535
1721404226.7680228,2300,7.647590637207031
1721404232.2353134,2450,6.145846366882324
1721404232.6009917,2460,5.3976569175720215
1721404237.337874,2590,-1.3451286554336548
1721404237.7021606,2600,8.993722915649414
1721404238.065912,2610,7.204882621765137
1721404242.0787587,2720,8.439387321472168
1721404243.1705396,2750,8.063904762268066
1721404244.6328847,2790,8.416528701782227
1721404246.0927703,2830,1.984184980392456
1721404247.184511,2860,5.782538414001465
1721404248.2794394,2890,8.680098533630371
1721404249.0066867,2910,7.385017395019531
1721404250.8310177,2960,-1.0328400135040283
1721404251.5605083,2980,7.200968265533447
1721404251.923683,2990,8.345501899719238
1721404255.5767438,3090,6.003155708312988
1721404257.04143,3130,7.31863260269165
1721404258.5054128,3170,2.78240704536438
1721404259.235819,3190,7.933084011077881
1721404259.6022356,3200,4.683563709259033
1721404260.6975777,3230,6.319722652435303
1721404266.1903985,3380,7.641279697418213
1721404269.106081,3460,4.049081325531006
1721404269.4677062,3470,8.171957015991211
