time/fps,train/learning_rate,train/explained_variance,train/n_updates,rollout/ep_rew_mean,train/policy_loss,time/iterations,time/time_elapsed,train/entropy_loss,train/value_loss,rollout/ep_len_mean,time/total_timesteps
673,0.0007,0.44341737031936646,99,41.0,0.29504549503326416,100,0,-0.5803126096725464,14.3211088180542,41.0,500
659,0.0007,-0.0409388542175293,199,31.93548387096774,1.5643043518066406,200,1,-0.6264428496360779,9.256636619567871,31.93548387096774,1000
661,0.0007,-0.03094625473022461,299,27.537037037037038,1.5998953580856323,300,2,-0.6163823008537292,8.496926307678223,27.537037037037038,1500
657,0.0007,0.007132232189178467,399,28.014285714285716,1.2742729187011719,400,3,-0.6480709314346313,6.362591743469238,28.014285714285716,2000
648,0.0007,0.0725964903831482,499,30.426829268292682,-13.356470108032227,500,3,-0.44999217987060547,598.6849365234375,30.426829268292682,2500
654,0.0007,0.022715091705322266,599,32.064516129032256,0.6472873687744141,600,4,-0.5376448631286621,4.838051795959473,32.064516129032256,3000
646,0.0007,-0.004162430763244629,699,35.07142857142857,0.8755418658256531,700,5,-0.6157814860343933,4.492919921875,35.07142857142857,3500
652,0.0007,0.00012803077697753906,799,36.64,0.9068185687065125,800,6,-0.5798128247261047,3.9303364753723145,36.64,4000
655,0.0007,-0.0047605037689208984,899,39.84,0.46254879236221313,900,6,-0.4904966950416565,3.4645836353302,39.84,4500
638,0.0007,0.001193702220916748,999,43.08,0.5325629115104675,1000,7,-0.5886574983596802,2.9632110595703125,43.08,5000
642,0.0007,-0.0003962516784667969,1099,47.44,0.46587395668029785,1100,8,-0.5601195096969604,2.5101540088653564,47.44,5500
627,0.0007,0.0008000731468200684,1199,51.39,0.5341190099716187,1200,9,-0.4306228756904602,2.0790138244628906,51.39,6000
623,0.0007,-0.00017392635345458984,1299,56.13,0.6730021238327026,1300,10,-0.4305204451084137,1.6999599933624268,56.13,6500
597,0.0007,-0.00022590160369873047,1399,59.49,0.41463717818260193,1400,11,-0.5382250547409058,1.3748066425323486,59.49,7000
553,0.0007,-1.4901161193847656e-05,1499,63.43,0.4049649238586426,1500,13,-0.5277249813079834,1.0782294273376465,63.43,7500
557,0.0007,0.00018137693405151367,1599,67.43,0.2747618556022644,1600,14,-0.49845343828201294,0.8170548677444458,67.43,8000
560,0.0007,-1.1920928955078125e-07,1699,70.18,0.3311377167701721,1700,15,-0.6101095676422119,0.5748666524887085,70.18,8500
542,0.0007,0.00010019540786743164,1799,76.79,0.3007180094718933,1800,16,-0.5311847925186157,0.3785169720649719,76.79,9000
547,0.0007,-9.85860824584961e-05,1899,81.56,0.19989299774169922,1900,17,-0.5011590719223022,0.2176530361175537,81.56,9500
550,0.0007,3.2067298889160156e-05,1999,85.85,0.1855449676513672,2000,18,-0.4198480546474457,0.10282669216394424,85.85,10000
