Wall time,Step,Value
1721408250.6854103,50,4.815440654754639
1721408254.332514,150,8.930130958557129
1721408254.6963708,160,6.851109504699707
1721408255.7930326,190,5.597048282623291
1721408256.1594253,200,5.434395790100098
1721408258.7238138,270,8.6611909866333
1721408259.0896094,280,5.822456359863281
1721408263.829341,410,4.7640275955200195
1721408266.3876107,480,7.089421272277832
1721408266.754878,490,7.211358070373535
1721408267.119552,500,8.003487586975098
1721408268.9489083,550,6.897947788238525
1721408271.865258,630,7.829689979553223
1721408272.2269192,640,9.130260467529297
1721408273.3178446,670,8.191686630249023
1721408273.683868,680,6.716252326965332
1721408274.774937,710,5.160764217376709
1721408275.1366525,720,5.147489070892334
1721408277.3093739,780,8.168618202209473
1721408279.1247156,830,9.028936386108398
1721408281.6725693,900,6.920815467834473
1721408285.3173985,1000,6.124668121337891
1721408286.7809763,1040,9.371854782104492
1721408288.2360938,1080,7.835257053375244
1721408293.3449934,1220,7.112699031829834
1721408294.8020093,1260,7.436877250671387
1721408295.165284,1270,9.26506519317627
1721408295.8954897,1290,9.281801223754883
1721408296.6210923,1310,6.063647270202637
1721408298.8084168,1370,8.911115646362305
1721408301.718224,1450,6.542544364929199
1721408302.4448738,1470,7.873808860778809
1721408302.8100874,1480,5.408163547515869
1721408303.8981752,1510,6.781609535217285
1721408306.4479098,1580,7.085241794586182
1721408307.5412562,1610,-1.3215595483779907
1721408308.2653365,1630,5.579579830169678
1721408308.9929917,1650,8.202468872070312
1721408311.5283947,1720,0.41957855224609375
1721408311.8934362,1730,7.31506872177124
1721408313.7095213,1780,9.207842826843262
1721408316.2501347,1850,7.0802741050720215
1721408316.6145954,1860,4.259405136108398
1721408318.8119497,1920,4.275723934173584
1721408319.1806126,1930,7.533359527587891
1721408332.5866814,2040,4.527148246765137
1721408333.3210588,2060,6.246065616607666
1721408336.2544084,2140,8.215230941772461
1721408336.9884467,2160,8.216621398925781
1721408340.2820106,2250,6.791699409484863
1721408342.1128309,2300,7.135917663574219
1721408347.6181595,2450,7.4288458824157715
1721408347.9833734,2460,6.534285545349121
1721408352.7446933,2590,8.348745346069336
1721408353.1095116,2600,7.007124900817871
1721408353.4760225,2610,7.39310359954834
1721408357.5070784,2720,6.654421329498291
1721408358.6079137,2750,6.8170166015625
1721408360.0775511,2790,8.578845024108887
1721408361.545256,2830,5.747708320617676
1721408362.6429417,2860,8.442723274230957
1721408363.7396932,2890,7.397019863128662
1721408364.4740217,2910,7.7005462646484375
1721408366.2917478,2960,8.09757137298584
1721408367.019791,2980,7.082343101501465
1721408367.388646,2990,7.747889041900635
1721408371.042557,3090,7.558074951171875
1721408372.494702,3130,6.138003349304199
1721408373.953281,3170,6.988910675048828
1721408374.6818612,3190,7.355408668518066
1721408375.0445175,3200,7.559109687805176
1721408376.13596,3230,-0.9637126922607422
1721408381.5887601,3380,8.873939514160156
1721408384.4965694,3460,7.568746089935303
1721408384.8637774,3470,7.563878536224365
1721408389.2393012,3590,5.6453328132629395
1721408391.417229,3650,8.126214027404785
1721408391.7780197,3660,7.564769744873047
1721408392.1417196,3670,6.1119704246521
1721408396.49213,3790,6.793646335601807
1721408399.3926065,3870,8.029226303100586
1721408400.8454065,3910,-3.9823005199432373
1721408401.5663786,3930,5.725029945373535
1721408403.393315,3980,7.176320552825928
1721408414.5224302,4030,9.143210411071777
1721408415.250918,4050,7.5773444175720215
1721408419.2683945,4160,7.002442836761475
1721408421.4605563,4220,5.370427131652832
1721408421.8243287,4230,5.993138790130615
1721408426.9359114,4370,7.492958068847656
1721408427.300784,4380,6.8302903175354
1721408428.029816,4400,8.472786903381348
1721408429.8541443,4450,8.833297729492188
1721408430.5889924,4470,7.933690071105957
1721408432.7829485,4530,9.049847602844238
1721408434.2482972,4570,6.912459373474121
1721408436.0738015,4620,6.575823783874512
1721408437.5412827,4660,5.445226192474365
1721408438.6409876,4690,6.178586006164551
1721408439.3765438,4710,5.6721954345703125
1721408440.840843,4750,6.82531213760376
1721408441.204745,4760,6.626072883605957
1721408443.0391634,4810,8.229959487915039
1721408443.4047024,4820,7.99627161026001
1721408445.6020148,4880,7.7447614669799805
1721408448.1638396,4950,7.4753007888793945
1721408454.0289147,5110,7.6924543380737305
1721408454.7622612,5130,5.699732780456543
1721408455.1281936,5140,5.800881862640381
1721408455.4919918,5150,7.119803428649902
1721408456.587217,5180,7.748690605163574
1721408457.3216426,5200,7.895038604736328
1721408462.4564376,5340,7.186873435974121
1721408462.824357,5350,7.702561855316162
1721408463.5583544,5370,6.4146833419799805
1721408464.2908688,5390,7.660869598388672
1721408465.0226,5410,4.5400495529174805
1721408466.485552,5450,2.683767318725586
1721408467.215471,5470,9.114046096801758
1721408468.6800551,5510,6.095569610595703
1721408469.409627,5530,8.492206573486328
1721408470.873374,5570,9.007776260375977
1721408473.0578113,5630,6.212808132171631
1721408473.7886887,5650,8.06486701965332
1721408475.251412,5690,8.779684066772461
1721408481.0925422,5850,1.8439972400665283
1721408481.4577315,5860,6.3487653732299805
1721408482.552373,5890,5.769429683685303
1721408483.285257,5910,7.158583164215088
1721408484.7522762,5950,6.6274895668029785
1721408485.485596,5970,8.532596588134766
1721408499.1943278,6090,4.708033561706543
1721408501.0052419,6140,5.713188171386719
1721408501.3633513,6150,3.684838056564331
1721408504.2631786,6230,9.20218563079834
1721408504.6255362,6240,8.363012313842773
1721408506.4349086,6290,4.398446083068848
1721408506.7964132,6300,7.292489051818848
1721408508.2434886,6340,5.655758380889893
1721408509.693029,6380,2.246044874191284
1721408511.873035,6440,7.784302711486816
1721408512.237764,6450,7.959681034088135
1721408514.0531614,6500,6.99935245513916
1721408514.77903,6520,8.139578819274902
1721408517.3231697,6590,8.339178085327148
1721408518.048442,6610,8.44630241394043
1721408520.5881546,6680,8.077428817749023
1721408523.5054731,6760,8.712136268615723
1721408523.8680172,6770,8.046757698059082
1721408526.7843277,6850,8.126823425292969
1721408529.7056625,6930,5.142584800720215
1721408530.4358306,6950,5.009456634521484
1721408536.2802565,7110,5.925675868988037
1721408540.2992313,7220,3.179180145263672
1721408541.029744,7240,6.754247188568115
1721408541.7629368,7260,8.244738578796387
1721408542.1309674,7270,4.766541481018066
1721408542.8616047,7290,7.483563423156738
1721408543.227027,7300,6.265270233154297
1721408543.9596922,7320,8.74180793762207
1721408544.3290572,7330,5.999823570251465
1721408544.6956966,7340,8.100086212158203
