Wall time,Step,Value
1721402076.7374659,50,8.96713638305664
1721402080.3884623,150,5.450604438781738
1721402080.7506588,160,5.84615421295166
1721402081.84955,190,8.136842727661133
1721402082.2149532,200,6.711421012878418
1721402084.7785528,270,5.864363193511963
1721402085.1439629,280,7.961203575134277
1721402089.8971157,410,8.503046035766602
1721402092.4558966,480,8.048583030700684
1721402092.8196704,490,7.739148139953613
1721402093.1858752,500,2.856896162033081
1721402095.0064073,550,6.305819034576416
1721402097.9085646,630,8.394464492797852
1721402098.271605,640,7.787021636962891
1721402099.361821,670,6.3373541831970215
1721402099.7261338,680,8.919022560119629
1721402100.8126936,710,6.730927467346191
1721402101.175136,720,8.936118125915527
1721402103.360647,780,9.545007705688477
1721402105.1745472,830,5.6493940353393555
1721402107.7167602,900,6.146657466888428
1721402111.3396525,1000,8.249602317810059
1721402112.7915852,1040,1.7560570240020752
1721402114.2541268,1080,8.891515731811523
1721402119.3669946,1220,8.356395721435547
1721402120.8223376,1260,7.088728904724121
1721402121.184807,1270,4.688138484954834
1721402121.9102573,1290,6.6627044677734375
1721402122.637112,1310,8.692010879516602
1721402124.8160503,1370,7.758913516998291
1721402127.7271748,1450,5.425051212310791
1721402128.454689,1470,8.036345481872559
1721402128.819094,1480,8.441530227661133
1721402129.9102435,1510,5.970527648925781
1721402132.4484992,1580,6.079827308654785
1721402133.53765,1610,4.375234603881836
1721402134.270053,1630,5.718916416168213
1721402134.9994614,1650,7.299705505371094
1721402137.5406382,1720,6.8078460693359375
1721402137.9064422,1730,3.2538788318634033
1721402139.7264314,1780,4.325396537780762
1721402142.2743406,1850,9.354838371276855
1721402142.6391294,1860,1.8815116882324219
1721402144.8273866,1920,7.6854729652404785
1721402145.1903865,1930,5.828612327575684
1721402158.4407678,2040,7.774166107177734
1721402159.1647522,2060,3.026752471923828
1721402162.0634105,2140,6.803212642669678
1721402162.7965348,2160,6.261258602142334
1721402166.0729527,2250,2.915113925933838
1721402167.8995163,2300,6.763653755187988
1721402173.4013784,2450,8.919622421264648
1721402173.7648325,2460,7.988127708435059
1721402178.5191011,2590,8.056962013244629
1721402178.8864436,2600,6.394366264343262
1721402179.2545047,2610,5.816276550292969
1721402183.2777982,2720,7.17434549331665
1721402184.3720286,2750,5.337897300720215
1721402185.8346767,2790,7.9753570556640625
1721402187.3005056,2830,8.405027389526367
1721402188.3985727,2860,9.31204605102539
1721402189.4973571,2890,7.197080135345459
1721402190.2306035,2910,9.311771392822266
1721402192.0544033,2960,-0.08815765380859375
1721402192.7901285,2980,8.832700729370117
1721402193.1534204,2990,8.974691390991211
1721402196.8067398,3090,6.523414611816406
1721402198.2752595,3130,8.046148300170898
1721402199.7408175,3170,8.43701171875
1721402200.473736,3190,5.75628662109375
1721402200.8366973,3200,7.735506534576416
1721402201.9384325,3230,9.0637788772583
1721402207.4387054,3380,7.373332977294922
1721402210.3655784,3460,6.270594596862793
1721402210.7330189,3470,8.996533393859863
1721402215.1204808,3590,5.804347991943359
1721402217.3151326,3650,0.36545485258102417
1721402217.68106,3660,6.92013692855835
1721402218.045671,3670,5.543343544006348
1721402222.4408336,3790,6.060031890869141
1721402225.3764505,3870,6.864854335784912
1721402226.857666,3910,9.100196838378906
1721402227.5927625,3930,6.156153678894043
1721402229.4233437,3980,7.060141563415527
1721402240.6356883,4030,8.949836730957031
1721402241.366343,4050,6.707753658294678
1721402245.3934162,4160,7.1799798011779785
1721402247.575865,4220,5.677248477935791
1721402247.9429078,4230,7.304093837738037
1721402253.0697343,4370,9.21728515625
1721402253.434631,4380,8.277857780456543
1721402254.1665263,4400,0.39948520064353943
1721402255.997109,4450,5.9628586769104
1721402256.7293885,4470,5.972938537597656
1721402258.9326222,4530,8.297270774841309
1721402260.3961797,4570,8.334227561950684
1721402262.2248816,4620,6.888888359069824
1721402263.6915667,4660,4.85269832611084
1721402264.7887812,4690,7.5089111328125
1721402265.5183692,4710,3.9243645668029785
1721402266.9806273,4750,6.687516689300537
1721402267.3474667,4760,8.209733963012695
1721402269.1724591,4810,7.988549709320068
1721402269.5380626,4820,4.718799591064453
1721402271.7255557,4880,8.597002029418945
1721402274.2793577,4950,1.9726688861846924
1721402280.1191678,5110,6.4399518966674805
1721402280.84729,5130,1.7375233173370361
1721402281.2140777,5140,7.771273136138916
1721402281.5788884,5150,7.121105194091797
1721402282.6837044,5180,8.908548355102539
1721402283.4158814,5200,8.007596969604492
1721402288.5271683,5340,8.984760284423828
1721402288.8952906,5350,5.984175682067871
1721402289.625772,5370,6.138533592224121
1721402290.358703,5390,4.444960117340088
1721402291.0922077,5410,5.278275489807129
1721402292.552173,5450,6.3162336349487305
1721402293.2863836,5470,8.027864456176758
1721402294.7542653,5510,8.188131332397461
1721402295.4852083,5530,8.746299743652344
1721402296.952143,5570,8.012308120727539
1721402299.1520584,5630,9.26644229888916
1721402299.8849554,5650,8.990926742553711
1721402301.3515701,5690,9.011966705322266
1721402307.2056007,5850,9.455347061157227
1721402307.5730138,5860,7.531510353088379
1721402308.6734784,5890,7.010096549987793
1721402309.4116576,5910,6.954073905944824
1721402310.888673,5950,6.670721530914307
1721402311.616531,5970,7.858246803283691
1721402325.2905715,6090,5.616564750671387
1721402327.1198688,6140,5.666666507720947
1721402327.4845836,6150,7.916416168212891
1721402330.4160783,6230,1.4409843683242798
1721402330.781262,6240,3.742889881134033
1721402332.6020803,6290,7.982842922210693
1721402332.9639041,6300,8.83787727355957
1721402334.4212024,6340,9.117968559265137
1721402335.8818853,6380,8.144598007202148
1721402338.0642564,6440,8.749252319335938
1721402338.4280753,6450,8.940008163452148
1721402340.2546482,6500,5.326296806335449
1721402340.9855788,6520,8.96917724609375
1721402343.55513,6590,1.9674293994903564
1721402344.2895548,6610,8.848649024963379
1721402346.8477266,6680,7.479071140289307
1721402349.775616,6760,6.844290733337402
1721402350.141677,6770,4.341390132904053
1721402353.0568385,6850,4.102270603179932
1721402355.9756062,6930,1.6474940776824951
1721402356.703757,6950,9.147260665893555
1721402362.5291548,7110,5.714285850524902
1721402366.5349817,7220,4.742743015289307
1721402367.2609115,7240,7.324060916900635
1721402367.989029,7260,9.371941566467285
1721402368.354635,7270,7.819358825683594
1721402369.08432,7290,8.921014785766602
1721402369.4508185,7300,8.060808181762695
1721402370.1785617,7320,4.579359531402588
1721402370.5448582,7330,7.8630547523498535
1721402370.9124255,7340,8.697979927062988
1721402372.737598,7390,7.491021633148193
1721402374.9273188,7450,6.712233543395996
1721402382.2408202,7650,9.00905990600586
1721402385.1632028,7730,8.124452590942383
1721402386.2586462,7760,8.912553787231445
1721402386.6244545,7770,6.0645928382873535
1721402387.3573773,7790,8.636869430541992
1721402388.0875976,7810,5.591930389404297
1721402388.8194926,7830,9.172264099121094
1721402391.0132256,7890,3.86395263671875
1721402406.2446938,8050,8.506743431091309
1721402406.6113253,8060,5.773072242736816
1721402407.344006,8080,8.970548629760742
1721402408.4462981,8110,6.1492156982421875
1721402411.387397,8190,8.837209701538086
