Wall time,Step,Value
1721321664.3142273,50,8.547944068908691
1721321667.9331996,150,0.3592124879360199
1721321668.300229,160,-4.9061408042907715
1721321669.3879387,190,8.10767650604248
1721321669.7477448,200,8.106206893920898
1721321672.285964,270,11.507528305053711
1721321672.6448464,280,7.586297035217285
1721321677.3457341,410,-2.4221014976501465
1721321679.89679,480,-2.7579829692840576
1721321680.2618098,490,4.769752502441406
1721321680.622737,500,1.3839412927627563
1721321682.4332285,550,-2.3748297691345215
1721321685.3331358,630,4.067183494567871
1721321685.6983106,640,4.0281171798706055
1721321686.7782834,670,2.788325071334839
1721321687.1414964,680,5.7373948097229
1721321688.2337282,710,25.152599334716797
1721321688.5995903,720,19.37718391418457
1721321690.7564921,780,11.785426139831543
1721321692.5673575,830,-1.219700574874878
1721321695.096114,900,-4.135931015014648
1721321698.709123,1000,0.44461172819137573
1721321700.1560035,1040,7.913592338562012
1721321701.6078544,1080,10.890584945678711
1721321706.6675725,1220,6.868014335632324
1721321708.1060462,1260,4.112038612365723
1721321708.4641793,1270,23.872787475585938
1721321709.1901982,1290,22.10918617248535
1721321709.917277,1310,-1.6557296514511108
1721321712.0761344,1370,7.518975734710693
1721321714.979335,1450,-3.098905563354492
1721321715.7113256,1470,10.197602272033691
1721321716.0715597,1480,16.78713035583496
1721321717.1536114,1510,8.473299026489258
1721321719.6933217,1580,-2.264666795730591
1721321720.7759895,1610,-4.102276802062988
1721321721.5085132,1630,2.7105495929718018
1721321722.2326784,1650,17.56974220275879
1721321724.7778049,1720,4.095715522766113
1721321725.1414247,1730,18.01667022705078
1721321726.946155,1780,-0.7353843450546265
1721321729.477877,1850,15.489051818847656
1721321729.8402898,1860,9.58079719543457
1721321732.0157042,1920,8.0525484085083
1721321732.3774781,1930,1.4052703380584717
1721321745.7106261,2040,6.7806596755981445
1721321746.4332318,2060,11.642539978027344
1721321749.3144202,2140,8.798283576965332
1721321750.0328455,2160,-10.0
1721321753.2881672,2250,13.605694770812988
1721321755.095523,2300,2.8554015159606934
1721321760.5227978,2450,17.610990524291992
1721321760.8886878,2460,-2.6470589637756348
1721321765.606053,2590,2.7521462440490723
1721321765.969482,2600,1.3586689233779907
1721321766.333989,2610,37.06967544555664
1721321770.3354208,2720,10.812189102172852
1721321771.4194043,2750,12.746630668640137
1721321772.8770924,2790,3.384462356567383
1721321774.3235583,2830,-5.022705554962158
1721321775.4133072,2860,-4.915724754333496
1721321776.5058873,2890,13.642065048217773
1721321777.2267122,2910,24.734527587890625
1721321779.0432024,2960,12.387521743774414
1721321779.7686918,2980,22.597017288208008
1721321780.1280348,2990,5.322775363922119
1721321783.7440612,3090,-10.0
1721321785.1937177,3130,13.857475280761719
1721321786.63295,3170,-4.9514546394348145
1721321787.3554955,3190,1.833547592163086
1721321787.7213998,3200,-1.6091346740722656
1721321788.8010542,3230,-3.750593900680542
1721321794.2213173,3380,-4.044571399688721
1721321797.1150193,3460,5.270724296569824
1721321797.4769108,3470,-1.3517783880233765
1721321801.8169718,3590,11.294588088989258
1721321803.9928782,3650,3.132026195526123
1721321804.352087,3660,8.224932670593262
1721321804.7159905,3670,6.574423313140869
1721321809.0633652,3790,15.761785507202148
1721321811.956247,3870,8.264005661010742
1721321813.3972967,3910,-0.5331375002861023
1721321814.1183784,3930,27.776836395263672
1721321815.9276059,3980,19.346284866333008
1721321827.032011,4030,8.413495063781738
1721321827.7475092,4050,2.6679298877716064
1721321831.71932,4160,12.347833633422852
1721321833.8977985,4220,-10.0
1721321834.2536051,4230,-3.233811140060425
1721321839.2950199,4370,3.884291887283325
1721321839.6576452,4380,14.451333999633789
1721321840.3731663,4400,14.084132194519043
1721321842.1827714,4450,-3.9130961894989014
1721321842.8947325,4470,15.721893310546875
1721321845.06147,4530,-10.0
1721321846.494272,4570,20.006755828857422
1721321848.3114533,4620,22.282854080200195
1721321849.7472363,4660,19.655384063720703
1721321850.8347952,4690,12.767724990844727
1721321851.5533555,4710,-5.449392795562744
1721321852.9904222,4750,8.15782642364502
1721321853.3525789,4760,8.434962272644043
1721321855.1638446,4810,25.144460678100586
1721321855.5237257,4820,0.8820362091064453
1721321857.7046635,4880,-2.3758208751678467
1721321860.236398,4950,12.776134490966797
1721321866.0351703,5110,8.43352222442627
1721321866.751506,5130,-4.745911598205566
1721321867.1071353,5140,16.983598709106445
1721321867.4668128,5150,-4.992100715637207
1721321868.555704,5180,4.5322370529174805
1721321869.2811954,5200,-5.210416793823242
1721321874.3318954,5340,8.603375434875488
1721321874.6975417,5350,9.1196928024292
1721321875.4165962,5370,15.967872619628906
1721321876.1315427,5390,3.331569194793701
1721321876.8530076,5410,-0.9517356753349304
1721321878.305225,5450,-1.8510468006134033
1721321879.0211484,5470,5.082980155944824
1721321880.4742517,5510,-0.5069618225097656
1721321881.1974425,5530,35.538330078125
1721321882.6448638,5570,47.838722229003906
1721321884.8130987,5630,-10.0
1721321885.5308964,5650,0.586504340171814
1721321886.9778779,5690,2.6545615196228027
1721321892.7847764,5850,-2.6095967292785645
1721321893.1476097,5860,26.27005386352539
1721321894.2256124,5890,3.1397247314453125
1721321894.9538078,5910,18.87936019897461
1721321896.4057004,5950,-4.24385404586792
1721321897.1228278,5970,-1.6021850109100342
1721321910.8916464,6090,3.9554171562194824
1721321912.7028203,6140,2.706713914871216
1721321913.0648184,6150,4.846202850341797
1721321915.9671948,6230,20.972946166992188
1721321916.3307786,6240,-2.040555477142334
1721321918.1474366,6290,4.229062080383301
1721321918.508254,6300,5.159767150878906
1721321919.9691215,6340,17.62322998046875
1721321921.4236581,6380,4.629446506500244
1721321923.5998948,6440,27.78908348083496
1721321923.9589849,6450,-3.9863014221191406
1721321925.774206,6500,8.930435180664062
1721321926.4989822,6520,12.001459121704102
1721321929.0501072,6590,3.1427955627441406
1721321929.7760084,6610,16.245187759399414
1721321932.320078,6680,8.352374076843262
1721321935.2194958,6760,46.197410583496094
1721321935.580037,6770,11.024801254272461
