Wall time,Step,Value
1721332929.730242,50,56.89965057373047
1721332933.342225,150,11.451589584350586
1721332933.7092068,160,61.9098014831543
1721332934.7908974,190,69.46614837646484
1721332935.152011,200,76.47493743896484
1721332937.6835043,270,65.04005432128906
1721332938.0422273,280,43.01044845581055
1721332942.759882,410,59.633094787597656
1721332945.3039813,480,79.65760040283203
1721332945.6772373,490,64.98779296875
1721332946.0400941,500,61.02172088623047
1721332947.8443925,550,79.19322967529297
1721332950.7575097,630,59.49909210205078
1721332951.119659,640,80.77598571777344
1721332952.2113347,670,48.642093658447266
1721332952.568433,680,52.065513610839844
1721332953.651024,710,47.35099792480469
1721332954.012108,720,72.76647186279297
1721332956.1841226,780,56.558494567871094
1721332957.9958978,830,37.977787017822266
1721332960.5297847,900,66.52297973632812
1721332964.1658056,1000,72.53221130371094
1721332965.6148894,1040,71.31275939941406
1721332967.0795283,1080,59.473548889160156
1721332972.163293,1220,51.30241012573242
1721332973.6094947,1260,67.02166748046875
1721332973.9688118,1270,55.995262145996094
1721332974.6898324,1290,54.57023239135742
1721332975.4166508,1310,59.62458419799805
1721332977.5795088,1370,77.44632720947266
1721332980.4725175,1450,73.6333999633789
1721332981.1955853,1470,64.38700103759766
1721332981.559853,1480,62.252403259277344
1721332982.653019,1510,51.593177795410156
1721332985.1928017,1580,54.801231384277344
1721332986.2706695,1610,50.271018981933594
1721332987.0035195,1630,70.344970703125
1721332987.7369456,1650,73.59666442871094
1721332990.2732224,1720,57.837646484375
1721332990.6402261,1730,80.68525695800781
1721332992.466498,1780,51.09421920776367
1721332995.0156636,1850,53.809844970703125
1721332995.3782315,1860,47.85929870605469
1721332997.5616665,1920,73.67526245117188
1721332997.922855,1930,56.4178466796875
1721333011.2515743,2040,56.73865509033203
1721333011.9870927,2060,78.78502655029297
1721333014.916899,2140,73.03202819824219
1721333015.6441872,2160,62.410560607910156
1721333018.9050167,2250,85.97772979736328
1721333020.7261639,2300,59.523582458496094
1721333026.1711018,2450,76.30906677246094
1721333026.5368106,2460,57.357269287109375
1721333031.2662077,2590,50.72338104248047
1721333031.629018,2600,77.27572631835938
1721333031.9918396,2610,79.50812530517578
1721333036.021794,2720,65.33817291259766
1721333037.1114755,2750,72.54069519042969
1721333038.5686207,2790,72.42620849609375
1721333040.0161364,2830,56.47031784057617
1721333041.1010633,2860,81.12754821777344
1721333042.1955488,2890,60.161338806152344
1721333042.9202678,2910,61.017311096191406
1721333044.732851,2960,77.09078979492188
1721333045.4543095,2980,80.2735595703125
1721333045.8190882,2990,88.75955963134766
1721333049.4498217,3090,82.99470520019531
1721333050.9033554,3130,80.06877136230469
1721333052.3419201,3170,84.04951477050781
1721333053.0663848,3190,54.904151916503906
1721333053.429756,3200,87.54351043701172
1721333054.5193655,3230,58.55610275268555
1721333059.9593172,3380,78.37903594970703
1721333062.8721406,3460,59.7756462097168
1721333063.2399063,3470,67.38546752929688
1721333067.592765,3590,55.90718460083008
1721333069.7746472,3650,50.72559356689453
1721333070.137267,3660,74.72254180908203
1721333070.4993405,3670,46.47657012939453
1721333074.869703,3790,76.28439331054688
1721333077.773985,3870,60.299652099609375
1721333079.2234194,3910,67.71925354003906
1721333079.9502382,3930,84.42789459228516
1721333081.7695997,3980,68.95220947265625
1721333092.8224697,4030,75.7668228149414
1721333093.5429237,4050,46.51925277709961
1721333097.521402,4160,64.97557067871094
1721333099.6897626,4220,57.97705841064453
1721333100.0499659,4230,61.23122024536133
1721333105.1197846,4370,80.53828430175781
1721333105.4793265,4380,72.28489685058594
1721333106.1975913,4400,44.54810333251953
1721333108.016922,4450,12.67390251159668
1721333108.73504,4470,60.97392654418945
1721333110.9173687,4530,77.05503845214844
1721333112.3651574,4570,39.81110382080078
1721333114.1921787,4620,86.0875473022461
1721333115.6530242,4660,65.6705322265625
1721333116.743996,4690,56.10059356689453
1721333117.4619179,4710,50.893272399902344
1721333118.9103794,4750,77.41234588623047
1721333119.2753868,4760,60.51287078857422
1721333121.0791407,4810,54.640159606933594
1721333121.4385567,4820,83.55859375
1721333123.611004,4880,79.91250610351562
1721333126.1443303,4950,74.90716552734375
1721333131.9380267,5110,79.50428009033203
1721333132.6573856,5130,71.0402603149414
